calendar_date,tracking_key,bookings
2018-07-19,62B922BAB8747F47,3.0
2018-06-06,B094564E7122E9FA,9.0
2018-07-01,73723C8D61513566,0.0
2018-08-04,E813C50797E6BD83,0.0
2018-07-05,492EAD9C6A89C06C,42.0
2018-06-03,8BF3CB61D45841BA,9.0
2018-06-08,2EA020D6A6A9B94C,3.0
2018-07-01,815ACA4E3F40CC3F,3.0
2018-06-27,286A123221FD1D90,3.0
2018-06-09,D21ADEC721D00C87,0.0
2018-06-12,B79A867920A778AA,72.0
2018-06-07,D167CA24B10452D9,0.0
2018-06-04,C76FF8B6A1CC1A2B,3.0
2018-06-12,80E6B3E41802C39A,0.0
2018-07-09,662F49A29C16DF1E,3.0
2018-07-09,97460C6409B4AE9C,0.0
2018-07-17,2776B601B5DAA84D,0.0
2018-06-05,D003CB28FFCA51E0,3.0
2018-08-07,2056E8997126CD01,9.0
2018-07-17,D8AA70D1EC892AAA,21.0
2018-06-04,8458F4A06A718FFD,0.0
2018-08-14,7983B9E10723BC9F,57.0
2018-07-05,AB6C0E9AE872F554,9.0
2018-07-22,FCC5764DB3192D3D,0.0
2018-07-21,D7E30E1D4BAA376E,6.0
2018-08-02,6D2A5CDC6A885B58,3.0
2018-07-24,E807B27D4980CEA9,3.0
2018-07-13,7A01A6978FEDD64A,3.0
2018-07-31,49CB3A8D626607CB,0.0
2018-06-18,C80493194F1E2D29,0.0
2018-06-24,9017E63EDEA3D69A,6.0
2018-07-12,15908228E65871CF,0.0
2018-07-24,0EAADDFA389D257F,0.0
2018-07-25,EE209CF4C883BDA6,6.0
2018-07-25,5EC3D7F0EE226730,0.0
2018-07-25,BF7199A59B534212,0.0
2018-07-31,0099BA9FF04EC2D9,9.0
2018-06-01,FCE5DB6BFA11FF75,3.0
2018-07-19,94BBDE6BA5031237,0.0
2018-07-31,F96228808C3096ED,0.0
2018-07-28,93087D8ECBD7CF08,0.0
2018-07-30,2E164989DED41454,210.0
2018-07-30,0F599B19B6BB8832,15.0
2018-07-25,85C1CD6B859A1814,3.0
2018-06-03,BA1CE325D5518770,9.0
2018-07-01,3D7111129CD27694,0.0
2018-07-02,2BA537D9098FDA1A,9.0
2018-06-16,27181945D4CCFDBD,33.0
2018-06-10,42A55498FC35CBEC,0.0
2018-07-24,17CEE72650378864,0.0
2018-07-07,B53341E6DF811649,6.0
2018-07-07,DAE8B399816BCBF3,39.0
2018-07-07,2EA020D6A6A9B94C,3.0
2018-07-28,6015DB74802F5318,9.0
2018-07-14,D003CB28FFCA51E0,9.0
2018-07-04,1AF724E0CE757356,0.0
2018-06-07,E361BC1E422F4357,12.0
2018-06-06,B6A7EAD06546BC89,0.0
2018-06-19,50FD739C96DB5F67,3.0
2018-06-08,9E642C872D97F539,0.0
2018-07-04,F75296D4F8EF93A5,6.0
2018-07-14,815ACA4E3F40CC3F,0.0
2018-07-02,72E56D6B2B7FB965,6.0
2018-06-08,A9C0C99576FFF8C3,3.0
2018-06-10,73C4FAEE24F2846F,3.0
2018-08-08,80DEAEB8DD4C12D9,0.0
2018-08-10,FC216AD21B6446FD,3.0
2018-08-19,B1267400CF385482,33.0
2018-08-22,7BA3BBA7599875F8,0.0
2018-08-11,9A8205D4FC4B8D80,3.0
2018-08-12,779E4E23FDFE75C0,0.0
2018-08-31,8105C8C6C74C6902,9.0
2018-08-19,F37D4A8814ED686E,12.0
2018-08-10,8A8F99F085BC81D4,0.0
2018-08-28,C41AC18D9BACDF68,6.0
2018-08-11,BC28E9D24FFBF5A9,0.0
2018-08-20,8AF91952D281F750,42.0
2018-08-11,09A583153F1B8200,0.0
2018-08-28,DE5F4CB5CF8A3EC8,3.0
2018-08-28,68387D705B925399,3.0
2018-07-21,D6E440F20401A998,6.0
2018-07-13,6951A3E17A79F4BF,3.0
2018-07-18,933F48322D0BAF9C,12.0
2018-07-18,7A8C25F367DD20F6,3.0
2018-07-01,8E10DEF2DEAFAFD2,105.0
2018-06-17,1A8207DA86845FD3,0.0
2018-08-03,706788E61E794745,84.0
2018-06-03,9D1F04373922D0C3,9.0
2018-07-02,7686D3DDBC363C2B,0.0
2018-07-11,8FBB0CA870080C0D,231.0
2018-07-11,F9196BEF0DBB4832,6.0
2018-06-28,3D37088EB5334078,54.0
2018-06-24,774053F07AA8EB57,42.0
2018-06-16,3513E881B214248B,3.0
2018-08-05,E4346756CEB39846,0.0
2018-08-11,228D3FA5008C9EC2,42.0
2018-07-10,8FBDF4F2AB5190C7,33.0
2018-08-23,E9CB43CC27C5BF80,0.0
2018-08-05,6FF0E08BA4D3519E,633.0
2018-07-21,036BED10EC7BCE3D,0.0
2018-07-21,28E56C32724B79F5,6.0
2018-07-21,44EE76557541D450,51.0
2018-06-04,92CFD8160EA7DC1C,21.0
2018-07-13,B8ADEC4226D4759B,0.0
2018-06-15,5A46AB715C5B495D,0.0
2018-07-24,C4305709DC383650,6.0
2018-07-24,4006539E0D175CEB,177.0
2018-07-23,8F8209E97BA7476E,3.0
2018-07-23,9EA5D5B488421B9B,0.0
2018-07-23,1D51010D1E771B1E,3.0
2018-07-23,EB615F244E7A9A0F,0.0
2018-07-13,3CEE06392C57204E,0.0
2018-06-30,C26FC9D9EB6702E2,63.0
2018-06-19,03DB26001A677BDF,3.0
2018-06-11,EC0FE0FAD0338FC9,0.0
2018-07-12,C7710DADD21C270E,18.0
2018-07-24,C4179E1BAEFE00F4,21.0
2018-07-23,38F98B5CB14A4A18,0.0
2018-06-18,9805E9A8CC9533C9,0.0
2018-08-02,CC74A649A1EEB539,336.0
2018-07-31,447BF226CFA818E3,0.0
2018-07-31,4BDB5780699928E1,6.0
2018-07-31,0044799E7F736C38,6.0
2018-07-06,58BB5E599D1CB063,81.0
2018-07-30,9BA4CABAF0022270,87.0
2018-06-08,9F06E795633911BC,3.0
2018-06-03,E34D9D19B8D55D7B,51.0
2018-07-16,A419C15860DBC3BB,3.0
2018-06-10,4148C7B6A4051121,0.0
2018-06-22,1C38E69217BC4029,0.0
2018-07-23,2205BAEEEF85F312,9.0
2018-07-23,19BDD9DF7DB4D8CE,96.0
2018-06-10,49DF1748232AA279,0.0
